InputID,TargetID,Distance
 DZA, PCN,15098642.2646188
 DZA, POL,3017550.88842104
 DZA, PRT,1629932.94667223
 DZA, PRI,7110733.19066237
 DZA, QAT,4776552.52830754
 DZA, REU,7842650.03129312
 DZA, ROU,2778887.15836382
 DZA, RUS,5003491.01910069
 DZA, RUS,5003491.01910069
 DZA, RWA,4400227.96596162
 DZA, SHN,4950436.45977015
 DZA, KNA,6783655.76320454
 DZA, LCA,6778189.1352862
 DZA, SPM,5504785.71547693
 DZA, VCT,6813991.73019582
 DZA, VCT,6813991.73019582
 DZA, VCT,6813991.73019582
 DZA, WSM,18338340.0397376
 DZA, SMR,1941971.39903622
 DZA, STP,3018132.98480131
 DZA, SAU,4179896.45745621
 DZA, SEN,2345510.73632431
 DZA, SRB,2394557.20416867
 DZA, SYC,6696018.64338845
 DZA, SLE,2641803.92634043
 DZA, SGP,11003830.3025435
 DZA, SVK,2696881.89187533
 DZA, SVN,2259300.5611961
 DZA, SLB,16664285.8969788
 DZA, SOM,5198301.97094889
 DZA, ZAF,6692895.93168445
 DZA, SGS,9911673.94503023
 DZA, ESP,1478585.75458921
 DZA, LKA,8475512.57040861
 DZA, SDN,3135305.59413731
 DZA, SUR,6774462.76319607
 DZA, SJM,5630158.05281741
 DZA, SWZ,6757448.12746009
 DZA, SWE,3881085.99370673
 DZA, CHE,2153484.65738969
 DZA, SYR,3396026.13162999
 DZA, TWN,11262867.820919
 DZA, TWN,11262867.820919
 DZA, TJK,6290515.47462829
 DZA, TZA,5095781.76907115
 DZA, THA,9909610.21946901
 DZA, TLS,13644909.0149485
 DZA, TGO,2222174.14450162
 DZA, TKL,17837968.9140939
 DZA, TON,19096166.8974791
 DZA, TTO,6900982.25634404
 DZA, TTO,6900982.25634404
 DZA, TUN,877593.441998445
 DZA, TUR,3193084.27304362
 DZA, TKM,5338580.16062637
 DZA, TCA,7453747.24120581
 DZA, TUV,17730082.9970726
 DZA, UGA,4297397.07505329
 DZA, UKR,3401570.41898841
 DZA, ARE,5088982.35978483
 DZA, GBR,2916223.84281738
 DZA, USA,8948504.39594374
 DZA, UMI,14485422.0542928
 DZA, URY,9187238.3449431
 DZA, UZB,5667333.40919332
 DZA, VUT,17904955.8466962
 DZA, VEN,7540273.81504248
 DZA, VEN,7540273.81504248
 DZA, VNM,10414824.5523961
 DZA, VNM,10414824.5523961
 DZA, VGB,6905026.00864008
 DZA, VIR,6944622.55705349
 DZA, WLF,18374346.071297
 DZA, ESH,1643427.9905878
 DZA, YEM,4849541.32299448
 DZA, ZMB,5577702.72920999
 DZA, ZWE,6054320.61706124
 ASM, AFG,14120851.2824976
 ASM, ALB,16895965.9752739
 ASM, DZA,18331507.7421755
 ASM, AND,16780913.4540933
 ASM, AGO,16894706.333707
 ASM, AIA,12252641.0197976
 ASM, ATA,8416743.49891355
 ASM, ATG,12375209.9503631
 ASM, ARG,10551370.4916304
 ASM, ARM,15582916.6183892
 ASM, ABW,11418489.35496
 ASM, AUS,6052966.45292856
 ASM, AUT,16331952.9802975
 ASM, AZE,15370138.4559379
 ASM, BHS,11055889.1777491
 ASM, BHR,15619530.7518369
 ASM, BGD,11650923.772208
 ASM, BRB,12544077.010775
 ASM, BLR,15432023.0557813
 ASM, BEL,15919988.3139311
 ASM, BLZ,9581307.97548569
 ASM, BEN,19027363.507252
 ASM, BMU,12273130.4865006
 ASM, BTN,11661218.9094256
 ASM, BOL,11093899.7245203
 ASM, BOL,11093899.7245203
 ASM, BIH,16629686.8494951
 ASM, BWA,15708159.3562157
 ASM, BVT,12359041.6067338
 ASM, BRA,12370516.5668685
 ASM, IOT,12881776.363215
 ASM, BRN,8567482.73981402
 ASM, BRN,8567482.73981402
 ASM, BGR,16521338.4442494
 ASM, BFA,18728758.268819
 ASM, BDI,17062098.4138708
 ASM, KHM,9843604.64554598
 ASM, CMR,19058158.4481978
 ASM, CAN,10561973.2321324
 ASM, CPV,16380370.8672899
 ASM, CYM,10487737.0736246
 ASM, CAF,18575328.1988251
 ASM, TCD,19062993.1297613
 ASM, CHL,10069180.6864092
 ASM, CHN,10468952.3959474
 ASM, CXR,9129367.01849383
 ASM, CCK,10011892.9934986
 ASM, COL,10988660.4333623
 ASM, COM,15243134.0019787
 ASM, COG,18223862.2418318
 ASM, COD,17731082.3728137
 ASM, COK,1326065.08005386
 ASM, CRI,9864056.6607508
 ASM, CIV,18250180.8658699
 ASM, CIV,18250180.8658699
 ASM, HRV,16547059.7330045
 ASM, CUB,10589806.8868056
 ASM, CYP,16894166.4455781
 ASM, CZE,16044682.3092448
